SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
00-0000,"Total, All Occupations",,25130,31540,2.6,650,630,1280,8.40,12.70,,,
11-0000,Management Occupations,,1650,1960,1.9,30,30,60,15.20,28.50,,,
11-1000,Top Executives,,420,540,2.8,10,10,20,,,,,
11-1021,General and Operations Managers,5,360,470,3,10,10,20,12.20,22.60,Bachelor's degree,Less than 5 years,None
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",,40,40,1.4,0,0,0,,,,,
11-3000,Operations Specialties Managers,,190,220,1.9,0,0,10,,,,,
11-3031,Financial Managers,2,80,100,2.4,0,0,0,25.40,34.60,Bachelor's degree,5 years or more,None
11-9000,Other Management Occupations,,1010,1160,1.5,20,20,40,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",3,520,530,0.1,0,10,10,,,High school diploma or equivalent,5 years or more,None
11-9032,"Education Administrators, Elementary and Secondary School",1,50,60,1.9,0,0,0,,,Master's degree,5 years or more,None
11-9051,Food Service Managers,2,60,70,2.7,0,0,0,15.90,20.20,High school diploma or equivalent,Less than 5 years,None
11-9081,Lodging Managers,3,100,110,1.9,0,0,10,15.20,20.50,High school diploma or equivalent,Less than 5 years,None
11-9111,Medical and Health Services Managers,,40,50,3.7,0,0,0,22.10,37.60,Bachelor's degree,None,None
11-9199,"Managers, All Other",,70,100,4.5,0,0,10,17.70,29.90,High school diploma or equivalent,Less than 5 years,None
13-0000,Business and Financial Operations Occupations,,610,890,4.6,30,10,40,15.60,23.50,,,
13-1000,Business Operations Specialists,,340,490,4.3,20,10,20,,,,,
13-1071,Human Resources Specialists,1,50,50,1.5,0,0,0,16.10,22.90,Bachelor's degree,None,None
13-1161,Market Research Analysts and Marketing Specialists,2,60,80,3.3,0,0,0,15.10,24.70,Bachelor's degree,None,None
13-1199,"Business Operations Specialists, All Other",,80,80,0.9,0,0,0,14.10,25.90,High school diploma or equivalent,None,None
13-2000,Financial Specialists,,270,400,5,10,10,20,,,,,
13-2011,Accountants and Auditors,5,150,240,6.3,10,0,10,17.70,23.10,Bachelor's degree,None,None
13-2052,Personal Financial Advisors,,40,50,4.2,0,0,0,,,Bachelor's degree,None,None
15-0000,Computer and Mathematical Occupations,,170,200,1.8,0,0,10,12.40,24.20,,,
15-1100,Computer Occupations,,160,190,1.8,0,0,10,,,,,
15-1142,Network and Computer Systems Administrators,,40,40,2,0,0,0,21.60,26.70,Bachelor's degree,None,None
15-1151,Computer User Support Specialists,0,60,70,2.5,0,0,0,,,"Some college, no degree",None,Moderate-term on-the-job training
17-0000,Architecture and Engineering Occupations,,200,380,9.3,20,0,20,17.70,27.80,,,
17-2000,Engineers,,110,260,14.1,20,0,20,,,,,
17-2051,Civil Engineers,,40,50,3.4,0,0,0,24.00,33.50,Bachelor's degree,None,None
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",,70,100,4,0,0,0,,,,,
19-0000,"Life, Physical, and Social Science Occupations",,470,510,0.9,0,20,20,12.10,17.90,,,
19-1000,Life Scientists,,110,110,0.5,0,0,0,,,,,
19-1023,Zoologists and Wildlife Biologists,,40,40,0.5,0,0,0,18.20,24.30,Bachelor's degree,None,None
19-3000,Social Scientists and Related Workers,,50,60,2.4,0,0,0,,,,,
19-4000,"Life, Physical, and Social Science Technicians",,290,310,0.7,0,10,10,,,,,
43-3000,Financial Clerks,,600,770,2.7,20,10,30,,,,,
19-4093,Forest and Conservation Technicians,4,220,230,0.6,0,10,10,11.70,15.10,Associate's degree,None,None
21-0000,Community and Social Service Occupations,,520,640,2.5,10,10,30,9.10,14.00,,,
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",,460,590,2.7,10,10,20,,,,,
21-1012,"Educational, Guidance, School, and Vocational Counselors",2,50,60,2.9,0,0,0,,,Master's degree,None,None
21-1021,"Child, Family, and School Social Workers",,40,50,3.3,0,0,0,14.30,19.40,Bachelor's degree,None,None
21-1023,Mental Health and Substance Abuse Social Workers,2,60,80,2.6,0,0,0,10.30,12.80,Bachelor's degree,None,None
21-1093,Social and Human Service Assistants,3,190,250,3.2,10,10,10,8.10,10.60,High school diploma or equivalent,None,Short-term on-the-job training
21-2000,Religious Workers,,50,60,1,0,0,0,,,,,
23-0000,Legal Occupations,,100,130,2.3,0,0,0,14.40,19.20,,,
23-1000,"Lawyers, Judges, and Related Workers",,60,70,2.6,0,0,0,,,,,
23-1011,Lawyers,,40,50,2.9,0,0,0,24.20,37.20,Doctoral or professional degree,None,None
23-2000,Legal Support Workers,,50,60,2,0,0,0,,,,,
25-0000,"Education, Training, and Library Occupations",,1650,1980,2,40,30,70,10.30,15.10,,,
25-1000,Postsecondary Teachers,,280,330,1.8,10,0,10,,,,,
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",,700,850,2.2,20,20,30,,,,,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",1,50,50,1.8,0,0,0,,,Bachelor's degree,None,Internship/residency
25-3000,Other Teachers and Instructors,,190,240,2.5,10,0,10,,,,,
25-3098,Substitute Teachers,4,130,160,2,0,0,10,,,Bachelor's degree,None,Internship/residency
25-9000,"Other Education, Training, and Library Occupations",,450,530,1.8,10,10,20,,,,,
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",,380,470,2.3,10,10,20,8.10,9.50,,,
27-1000,Art and Design Workers,,90,110,2.2,0,0,0,,,,,
27-1024,Graphic Designers,0,50,60,2.1,0,0,0,8.10,10.40,Bachelor's degree,None,None
27-2000,"Entertainers and Performers, Sports and Related Workers",,190,230,2.3,0,10,10,,,,,
27-2022,Coaches and Scouts,3,170,210,2.4,0,10,10,,,Bachelor's degree,None,None
27-3000,Media and Communication Workers,,60,80,2.7,0,0,0,,,,,
27-3031,Public Relations Specialists,,40,50,2,0,0,0,16.70,22.20,Bachelor's degree,None,None
27-4000,Media and Communication Equipment Workers,,40,50,2.2,0,0,0,,,,,
29-0000,Healthcare Practitioners and Technical Occupations,,1170,1470,2.5,30,30,60,12.60,25.20,,,
