SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
00-0000,"Total, All Occupations",,670480,823940,2.3,15450,15440,30890,10.10,17.10,,,
11-0000,Management Occupations,,39380,47990,2.2,870,790,1660,24.10,41.60,,,
11-1000,Top Executives,,14230,17260,2.1,300,270,580,,,,,
11-1011,Chief Executives,5,1760,2050,1.7,30,40,70,36.50,74.90,Bachelor's degree,5 years or more,None
11-1021,General and Operations Managers,5,12280,15000,2.2,270,230,500,21.10,38.40,Bachelor's degree,Less than 5 years,None
11-1031,Legislators,1,190,210,1,0,0,10,20369.00,34493.00,Bachelor's degree,Less than 5 years,None
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",,3750,4620,2.3,90,80,170,,,,,
11-2011,Advertising and Promotions Managers,3,140,180,2.5,0,0,10,26.40,43.10,Bachelor's degree,Less than 5 years,None
11-2021,Marketing Managers,5,910,1210,3.3,30,20,50,36.80,56.00,Bachelor's degree,5 years or more,None
11-2022,Sales Managers,5,2460,2940,2,50,50,100,25.60,35.90,Bachelor's degree,Less than 5 years,None
11-2031,Public Relations and Fundraising Managers,3,240,290,2.1,10,10,10,24.90,39.70,Bachelor's degree,5 years or more,None
11-3000,Operations Specialties Managers,,7960,9670,2.2,170,150,320,,,,,
11-3011,Administrative Services Managers,5,1110,1350,2.1,20,20,40,27.50,40.60,Bachelor's degree,Less than 5 years,None
11-3021,Computer and Information Systems Managers,5,1730,2240,2.9,50,20,80,39.80,54.40,Bachelor's degree,5 years or more,None
11-3031,Financial Managers,5,2450,2960,2.1,50,50,100,29.70,46.20,Bachelor's degree,5 years or more,None
11-3051,Industrial Production Managers,4,1010,1110,1,10,20,30,30.30,44.50,Bachelor's degree,5 years or more,None
11-3061,Purchasing Managers,2,250,290,1.7,0,10,10,32.20,46.50,Bachelor's degree,5 years or more,None
11-3071,"Transportation, Storage, and Distribution Managers",4,640,740,1.7,10,10,20,27.50,39.10,High school diploma or equivalent,5 years or more,None
11-3111,Compensation and Benefits Managers,2,90,110,2.1,0,0,0,23.60,35.00,Bachelor's degree,5 years or more,None
11-3121,Human Resources Managers,4,520,680,3,20,10,30,31.80,43.80,Bachelor's degree,5 years or more,None
11-3131,Training and Development Managers,3,160,190,2.2,0,0,10,26.90,39.70,Bachelor's degree,5 years or more,None
11-9000,Other Management Occupations,,13460,16440,2.2,310,290,600,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4,900,790,-1.2,0,20,20,,,High school diploma or equivalent,5 years or more,None
11-9021,Construction Managers,5,1860,2260,2.2,40,30,70,29.10,39.50,Bachelor's degree,None,Moderate-term on-the-job training
11-9031,"Education Administrators, Preschool and Childcare Center/Program",3,130,150,1.8,0,0,10,10.40,19.50,Bachelor's degree,Less than 5 years,None
11-9032,"Education Administrators, Elementary and Secondary School",5,670,820,2.3,20,20,30,70254.00,87010.00,Master's degree,5 years or more,None
11-9033,"Education Administrators, Postsecondary",5,390,550,4.1,20,10,30,26.60,45.70,Master's degree,5 years or more,None
11-9039,"Education Administrators, All Other",3,60,70,2.6,0,0,0,16.20,40.60,Bachelor's degree,Less than 5 years,None
11-9041,Architectural and Engineering Managers,5,730,890,2.2,20,20,30,38.60,53.10,Bachelor's degree,5 years or more,None
11-9051,Food Service Managers,4,880,1060,2.1,20,20,30,19.90,25.50,High school diploma or equivalent,Less than 5 years,None
11-9081,Lodging Managers,3,230,260,1.2,0,10,10,15.30,28.30,High school diploma or equivalent,Less than 5 years,None
11-9111,Medical and Health Services Managers,5,1620,2180,3.5,60,40,100,28.80,40.60,Bachelor's degree,None,None
11-9121,Natural Sciences Managers,3,270,320,2.2,10,10,10,32.50,43.00,Bachelor's degree,5 years or more,None
11-9141,"Property, Real Estate, and Community Association Managers",5,2200,2770,2.6,60,50,110,15.20,25.70,High school diploma or equivalent,Less than 5 years,None
11-9151,Social and Community Service Managers,5,460,560,2.2,10,10,20,19.30,31.50,Bachelor's degree,5 years or more,None
11-9161,Emergency Management Directors,2,150,170,1.4,0,0,0,23.50,30.80,Bachelor's degree,5 years or more,None
11-9199,"Managers, All Other",,2840,3480,2.2,60,60,130,24.80,41.80,High school diploma or equivalent,Less than 5 years,None
13-0000,Business and Financial Operations Occupations,,38680,48750,2.6,1010,770,1780,18.00,28.10,,,
13-1000,Business Operations Specialists,,23340,30050,2.9,670,410,1080,,,,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,50,70,3.3,0,0,0,13.80,23.30,Bachelor's degree,Less than 5 years,None
13-1021,"Buyers and Purchasing Agents, Farm Products",2,200,230,1.5,0,0,10,16.30,25.60,High school diploma or equivalent,None,Long-term on-the-job training
13-1022,"Wholesale and Retail Buyers, Except Farm Products",5,760,930,2.3,20,20,40,17.50,23.90,High school diploma or equivalent,None,Long-term on-the-job training
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5,1200,1380,1.5,20,20,40,20.30,28.10,High school diploma or equivalent,None,Long-term on-the-job training
13-1031,"Claims Adjusters, Examiners, and Investigators",5,1400,1670,1.9,30,30,60,17.10,26.00,High school diploma or equivalent,None,Long-term on-the-job training
13-1032,"Insurance Appraisers, Auto Damage",,50,50,0.9,0,0,0,24.00,30.10,Postsecondary non-degree award,None,Moderate-term on-the-job training
13-1041,Compliance Officers,5,1400,1690,2,30,30,50,19.00,28.20,Bachelor's degree,None,Moderate-term on-the-job training
13-1051,Cost Estimators,5,1100,1380,2.5,30,40,60,20.10,31.20,Bachelor's degree,None,None
13-1071,Human Resources Specialists,5,2600,3220,2.4,60,50,110,18.30,24.70,Bachelor's degree,None,None
13-1075,Labor Relations Specialists,2,450,460,0.2,0,10,10,9.30,24.90,Bachelor's degree,None,None
13-1081,Logisticians,5,580,830,4.3,30,10,30,23.10,29.90,Bachelor's degree,None,None
13-1111,Management Analysts,5,3830,5290,3.8,150,60,210,21.80,35.00,Bachelor's degree,Less than 5 years,None
13-1121,"Meeting, Convention, and Event Planners",4,510,750,4.7,20,10,30,15.30,19.60,Bachelor's degree,None,None
13-1131,Fundraisers,4,530,670,2.6,10,10,20,12.10,22.30,Bachelor's degree,None,None
13-1141,"Compensation, Benefits, and Job Analysis Specialists",3,350,400,1.4,10,10,10,17.90,26.30,Bachelor's degree,None,None
13-1151,Training and Development Specialists,5,1800,2230,2.4,40,30,80,17.00,24.60,Bachelor's degree,Less than 5 years,None
13-1161,Market Research Analysts and Marketing Specialists,5,3030,4700,5.5,170,40,210,16.50,26.80,Bachelor's degree,None,None
13-1199,"Business Operations Specialists, All Other",,3500,4120,1.8,60,50,110,18.50,29.30,High school diploma or equivalent,None,None
13-2000,Financial Specialists,,15340,18700,2.2,340,370,700,,,,,
13-2011,Accountants and Auditors,5,6280,7840,2.5,160,190,340,21.90,30.70,Bachelor's degree,None,None
13-2021,Appraisers and Assessors of Real Estate,3,350,410,1.7,10,0,10,10.70,20.10,Bachelor's degree,None,Long-term on-the-job training
13-2041,Credit Analysts,4,820,1060,3,30,20,50,16.20,21.70,Bachelor's degree,None,None
13-2051,Financial Analysts,5,1460,1810,2.4,40,40,70,22.60,35.20,Bachelor's degree,None,None
13-2052,Personal Financial Advisors,4,1330,1310,-0.1,0,20,20,18.60,30.00,Bachelor's degree,None,None
13-2053,Insurance Underwriters,2,220,240,0.7,0,10,10,16.90,25.60,Bachelor's degree,None,Moderate-term on-the-job training
13-2061,Financial Examiners,3,340,410,2.1,10,10,20,21.00,32.60,Bachelor's degree,None,Moderate-term on-the-job training
13-2071,Credit Counselors,1,500,820,6.4,30,10,40,10.30,11.50,Bachelor's degree,None,Moderate-term on-the-job training
13-2072,Loan Officers,5,2600,3090,1.9,50,50,100,16.50,28.10,Bachelor's degree,None,Moderate-term on-the-job training
13-2082,Tax Preparers,4,430,550,2.6,10,10,20,12.90,18.80,High school diploma or equivalent,None,Moderate-term on-the-job training
13-2099,"Financial Specialists, All Other",,720,850,1.8,10,10,20,17.50,27.60,Bachelor's degree,None,Moderate-term on-the-job training
15-0000,Computer and Mathematical Occupations,,21940,28600,3,670,370,1030,20.70,34.50,,,
15-1100,Computer Occupations,,21340,27780,3,640,350,1000,,,,,
15-1121,Computer Systems Analysts,5,2430,3280,3.5,90,40,120,22.70,34.80,Bachelor's degree,None,None
15-1131,Computer Programmers,5,3090,3710,2,60,80,140,25.00,39.00,Bachelor's degree,None,None
15-1132,"Software Developers, Applications",5,3620,4950,3.7,130,50,180,30.40,42.00,Bachelor's degree,None,None
15-1133,"Software Developers, Systems Software",5,1890,2400,2.7,50,20,70,30.40,44.30,Bachelor's degree,None,None
15-1134,Web Developers,5,1520,2110,3.9,60,20,80,14.50,24.70,Associate's degree,None,None
15-1141,Database Administrators,5,550,680,2.5,10,10,20,26.40,41.40,Bachelor's degree,Less than 5 years,None
15-1142,Network and Computer Systems Administrators,5,2020,2510,2.5,50,30,80,23.90,34.20,Bachelor's degree,None,None
15-1143,Computer Network Architects,3,440,520,2,10,10,20,28.90,42.00,Bachelor's degree,5 years or more,None
15-1151,Computer User Support Specialists,4,3590,4890,3.6,130,60,190,15.10,22.20,"Some college, no degree",None,Moderate-term on-the-job training
15-1152,Computer Network Support Specialists,4,1040,1240,1.8,20,20,40,18.90,28.80,Associate's degree,None,None
15-1199,"Computer Occupations, All Other",,600,740,2.2,10,10,20,18.60,34.50,Bachelor's degree,None,None
15-2000,Mathematical Science Occupations,,590,810,3.7,20,20,40,,,,,
15-2011,Actuaries,3,80,100,2.7,0,0,0,19.40,30.20,Bachelor's degree,None,Long-term on-the-job training
15-2031,Operations Research Analysts,5,400,550,3.9,20,10,30,22.30,32.80,Bachelor's degree,None,None
15-2041,Statisticians,4,110,150,3.5,0,0,10,23.50,30.30,Master's degree,None,None
17-0000,Architecture and Engineering Occupations,,13740,16450,2,270,320,590,22.00,34.20,,,
17-1000,"Architects, Surveyors, and Cartographers",,950,1240,3.1,30,20,50,,,,,
