Employment Industry,2012,2013,2014,2015e,2016f,Annual % Change 2013,Annual % Change 2014,Annual % Change 2015e,Annual % Change 2016f
U.S. Rate,8.1,7.4,6.2,5.3,4.6,,,,
Civilian Labor Force,1376628,1418522,1431104,1479236,1518295,3,0.9,3.4,2.6
Employed Persons,1302641,1355720,1376946,1424504,1465155,4.1,1.6,3.5,2.9
Unemployed Persons,73987,62802,54158,54732,53140,-15.1,-13.8,1.1,-2.9
Unemployment Rate,5.4,4.4,3.8,3.7,3.5,,,,
Total Nonfarm Jobs,1248893,1290420,1328055,1377200,1420500,3.3,2.9,3.7,3.1
Mining,12553,12108,12160,11100,11400,-3.5,0.4,-8.699999999999999,2.7
Construction,69225,73463,78669,83200,87100,6.1,7.1,5.8,4.7
Information,31295,32427,33338,35900,38100,3.6,2.8,7.7,6.1
Manufacturing,116667,118747,120642,123900,126700,1.8,1.6,2.7,2.3
Percent Svc.-producing,84.1,84.2,84.1,84.2,84.1,,,,
"Trade, Trans., Utilities",241870,246900,252588,260800,265900,2.1,2.3,3.3,2
Financial Activity,69540,72942,74969,77600,81600,4.9,2.8,3.5,5.2
Professional & Business Services,167219,177462,185081,194600,202800,6.1,4.3,5.1,4.2
Education & Health Services,163594,170541,174313,180700,186300,4.2,2.2,3.7,3.1
Leisure & Hospitality,118618,123539,128064,135100,141700,4.1,3.7,5.5,4.9
Other Services,35014,36372,37530,38700,39900,3.9,3.2,3.1,3.1
Government,223298,225920,230623,235600,239000,1.2,2.1,2.2,1.4
Goods-producing,198445,204317,211471,218200,225200,3,3.5,3.2,3.2
Service-producing,1050448,1086103,1116506,1159000,1195300,3.4,2.8,3.8,3.1
U.S. Nonfarm Job Growth %,1.7,1.7,1.9,2.1,1.6,,,,
Total Nonfarm Wages (millions),,,,,,4.4,5.7,6.8,6.8
Average Annual Wage,,,,,,1,2.7,2.9,3.3
Establishments (first quarter),81551,84914,87551,90500,92900,,,,
Average Monthly Wage,,,,,,1,2.7,2.9,3.3
