SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
00-0000,"Total, All Occupations",,56520,67050,1.9,1080,1390,2470,9.60,16.40,,,
11-0000,Management Occupations,,3010,3500,1.6,50,60,110,18.80,34.50,,,
11-1000,Top Executives,,1160,1390,1.9,20,20,40,,,,,
11-1021,General and Operations Managers,5,1020,1230,2.1,20,20,40,17.30,34.40,Bachelor's degree,Less than 5 years,None
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",,60,80,2.9,0,0,0,,,,,
11-2022,Sales Managers,3,60,70,2.6,0,0,0,27.30,36.60,Bachelor's degree,Less than 5 years,None
11-3000,Operations Specialties Managers,,240,280,1.4,0,0,10,,,,,
11-3011,Administrative Services Managers,,40,50,1.1,0,0,0,22.00,27.50,Bachelor's degree,Less than 5 years,None
11-3031,Financial Managers,3,90,110,1.7,0,0,0,24.20,33.00,Bachelor's degree,5 years or more,None
11-9000,Other Management Occupations,,1540,1760,1.4,20,30,50,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4,500,480,-0.3,0,10,10,,,High school diploma or equivalent,5 years or more,None
11-9021,Construction Managers,5,240,310,3.2,10,0,10,30.90,37.40,Bachelor's degree,None,Moderate-term on-the-job training
11-9032,"Education Administrators, Elementary and Secondary School",3,120,130,0.7,0,0,0,64118.00,77684.00,Master's degree,5 years or more,None
11-9051,Food Service Managers,3,60,70,2.3,0,0,0,17.50,21.70,High school diploma or equivalent,Less than 5 years,None
11-9081,Lodging Managers,3,100,110,1.6,0,0,10,19.10,28.70,High school diploma or equivalent,Less than 5 years,None
11-9111,Medical and Health Services Managers,4,90,120,3.4,0,0,10,29.50,38.30,Bachelor's degree,None,None
11-9199,"Managers, All Other",,180,220,2.7,10,0,10,16.80,27.80,High school diploma or equivalent,Less than 5 years,None
13-0000,Business and Financial Operations Occupations,,1110,1310,1.7,20,20,40,16.00,26.80,,,
13-1000,Business Operations Specialists,,660,760,1.6,10,10,20,,,,,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",,40,40,1.7,0,0,0,12.90,19.70,High school diploma or equivalent,None,Long-term on-the-job training
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2,50,50,0.8,0,0,0,19.20,23.20,High school diploma or equivalent,None,Long-term on-the-job training
13-1041,Compliance Officers,2,80,90,1.1,0,0,0,20.70,31.90,Bachelor's degree,None,Moderate-term on-the-job training
13-1051,Cost Estimators,4,80,90,1.9,0,0,0,17.30,28.20,Bachelor's degree,None,None
13-1071,Human Resources Specialists,2,90,100,1,0,0,0,18.60,27.90,Bachelor's degree,None,None
13-1111,Management Analysts,4,70,90,3.8,0,0,0,18.50,28.20,Bachelor's degree,Less than 5 years,None
13-1161,Market Research Analysts and Marketing Specialists,4,50,70,3.4,0,0,0,14.30,22.70,Bachelor's degree,None,None
13-1199,"Business Operations Specialists, All Other",,130,140,0.9,0,0,0,14.40,28.00,High school diploma or equivalent,None,None
13-2000,Financial Specialists,,460,540,1.9,10,10,20,,,,,
13-2011,Accountants and Auditors,5,250,300,2.2,10,10,10,23.10,32.00,Bachelor's degree,None,None
13-2021,Appraisers and Assessors of Real Estate,2,60,60,1.5,0,0,0,9.20,17.00,Bachelor's degree,None,Long-term on-the-job training
13-2052,Personal Financial Advisors,3,50,50,2,0,0,0,,,Bachelor's degree,None,None
13-2072,Loan Officers,3,70,80,1.6,0,0,0,15.20,20.10,Bachelor's degree,None,Moderate-term on-the-job training
15-0000,Computer and Mathematical Occupations,,280,340,2.2,10,10,10,12.70,26.00,,,
15-1100,Computer Occupations,,270,330,2.2,10,10,10,,,,,
15-1142,Network and Computer Systems Administrators,3,60,70,1.8,0,0,0,23.50,31.80,Bachelor's degree,None,None
15-1151,Computer User Support Specialists,3,70,90,2.1,0,0,0,8.20,16.40,"Some college, no degree",None,Moderate-term on-the-job training
17-0000,Architecture and Engineering Occupations,,700,820,1.8,10,20,30,19.50,30.10,,,
17-1000,"Architects, Surveyors, and Cartographers",,80,90,2.4,0,0,0,,,,,
