SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
00-0000,"Total, All Occupations",,53090,71710,3.5,1870,1290,3150,8.90,13.70,,,
11-0000,Management Occupations,,2410,3210,3.3,80,50,130,17.70,31.30,,,
11-1000,Top Executives,,1080,1480,3.8,40,20,60,,,,,
11-1011,Chief Executives,2,70,90,2.3,0,0,0,23.20,47.30,Bachelor's degree,5 years or more,None
11-1021,General and Operations Managers,5,980,1360,3.9,40,20,60,15.90,29.40,Bachelor's degree,Less than 5 years,None
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",,70,90,2.6,0,0,0,,,,,
11-2022,Sales Managers,,40,50,2.9,0,0,0,22.70,34.60,Bachelor's degree,Less than 5 years,None
11-3000,Operations Specialties Managers,,250,330,3.4,10,10,10,,,,,
11-3031,Financial Managers,4,90,130,4.3,0,0,10,26.00,33.50,Bachelor's degree,5 years or more,None
11-3051,Industrial Production Managers,,40,50,3,0,0,0,32.30,41.50,Bachelor's degree,5 years or more,None
11-9000,Other Management Occupations,,1020,1310,2.8,30,20,50,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",3,170,160,-0.2,0,0,0,,,High school diploma or equivalent,5 years or more,None
11-9021,Construction Managers,4,90,140,4.5,0,0,10,24.90,35.90,Bachelor's degree,None,Moderate-term on-the-job training
11-9032,"Education Administrators, Elementary and Secondary School",2,60,80,3.1,0,0,0,58974.00,80685.00,Master's degree,5 years or more,None
11-9051,Food Service Managers,3,160,200,2.5,0,0,10,18.70,23.30,High school diploma or equivalent,Less than 5 years,None
11-9111,Medical and Health Services Managers,5,140,200,4.2,10,0,10,27.10,38.00,Bachelor's degree,None,None
11-9141,"Property, Real Estate, and Community Association Managers",5,140,200,4.7,10,0,10,12.30,29.50,High school diploma or equivalent,Less than 5 years,None
11-9151,Social and Community Service Managers,,40,50,3.7,0,0,0,19.40,25.50,Bachelor's degree,5 years or more,None
11-9199,"Managers, All Other",,60,80,2.6,0,0,0,19.60,28.90,High school diploma or equivalent,Less than 5 years,None
13-0000,Business and Financial Operations Occupations,,1370,1880,3.8,50,30,80,15.10,22.60,,,
13-1000,Business Operations Specialists,,690,940,3.6,30,10,40,,,,,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",,40,50,4.1,0,0,0,19.00,26.40,High school diploma or equivalent,None,Long-term on-the-job training
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,40,50,2.3,0,0,0,13.80,17.50,High school diploma or equivalent,None,Long-term on-the-job training
13-1051,Cost Estimators,4,100,150,4.9,10,0,10,16.50,24.80,Bachelor's degree,None,None
13-1071,Human Resources Specialists,2,80,100,2.4,0,0,0,17.30,22.40,Bachelor's degree,None,None
