SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
00-0000,"Total, All Occupations",,23750,26960,1.4,340,570,910,8.90,14.80,,,
11-0000,Management Occupations,,1630,1720,0.5,10,30,40,14.40,28.70,,,
11-1000,Top Executives,,440,500,1.4,10,10,20,,,,,
11-1021,General and Operations Managers,5,310,360,1.6,10,10,10,14.40,26.70,Bachelor's degree,Less than 5 years,None
11-3000,Operations Specialties Managers,,80,100,1.6,0,0,0,,,,,
11-9000,Other Management Occupations,,1100,1110,0.1,10,20,30,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4,730,680,-0.6,0,10,10,,,High school diploma or equivalent,5 years or more,None
11-9032,"Education Administrators, Elementary and Secondary School",2,50,50,0.4,0,0,0,68149.00,80548.00,Master's degree,5 years or more,None
11-9199,"Managers, All Other",,90,110,1.7,0,0,0,14.80,19.40,High school diploma or equivalent,Less than 5 years,None
13-0000,Business and Financial Operations Occupations,,400,450,1.3,10,10,10,16.10,27.70,,,
13-1000,Business Operations Specialists,,190,220,1.1,0,0,10,,,,,
13-1071,Human Resources Specialists,,40,50,1.5,0,0,0,16.90,26.20,Bachelor's degree,None,None
13-1199,"Business Operations Specialists, All Other",,60,70,0.2,0,0,0,12.20,25.90,High school diploma or equivalent,None,None
13-2000,Financial Specialists,,200,230,1.5,0,10,10,,,,,
13-2011,Accountants and Auditors,4,90,110,1.9,0,0,10,19.60,27.90,Bachelor's degree,None,None
13-2072,Loan Officers,2,60,70,1,0,0,0,19.20,33.30,Bachelor's degree,None,Moderate-term on-the-job training
15-0000,Computer and Mathematical Occupations,,100,100,0.4,0,0,0,17.70,26.80,,,
15-1100,Computer Occupations,,90,100,0.4,0,0,0,,,,,
17-0000,Architecture and Engineering Occupations,,230,250,0.8,0,10,10,20.30,29.00,,,
17-2000,Engineers,,120,140,1.7,0,0,10,,,,,
17-2051,Civil Engineers,3,50,70,2.4,0,0,0,,,Bachelor's degree,None,None
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",,90,90,-0.2,0,0,0,,,,,
19-0000,"Life, Physical, and Social Science Occupations",,310,340,0.7,0,10,10,12.40,19.60,,,
19-1000,Life Scientists,,80,80,0.5,0,0,0,,,,,
19-4000,"Life, Physical, and Social Science Technicians",,190,200,0.7,0,10,10,,,,,
19-4093,Forest and Conservation Technicians,4,150,160,0.6,0,10,10,11.60,13.50,Associate's degree,None,None
21-0000,Community and Social Service Occupations,,480,530,1.1,10,10,20,10.80,17.30,,,
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",,420,470,1.3,10,10,20,,,,,
21-1012,"Educational, Guidance, School, and Vocational Counselors",3,50,60,2.4,0,0,0,18.00,21.80,Master's degree,None,None
21-1021,"Child, Family, and School Social Workers",,40,50,3.1,0,0,0,8.20,9.30,Bachelor's degree,None,None
21-1023,Mental Health and Substance Abuse Social Workers,,40,40,1.3,0,0,0,,,Bachelor's degree,None,None
21-1093,Social and Human Service Assistants,4,170,180,0.5,0,0,10,10.10,13.60,High school diploma or equivalent,None,Short-term on-the-job training
21-2000,Religious Workers,,70,60,-0.3,0,0,0,,,,,
21-2099,"Religious Workers, All Other",,40,40,-0.2,0,0,0,,,Bachelor's degree,None,None
23-0000,Legal Occupations,,70,80,1,0,0,0,14.00,24.60,,,
23-1000,"Lawyers, Judges, and Related Workers",,50,60,1,0,0,0,,,,,
25-0000,"Education, Training, and Library Occupations",,1940,2120,0.9,20,40,60,10.20,18.30,,,
25-1000,Postsecondary Teachers,,310,390,2.6,10,0,10,,,,,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",3,70,90,2.3,0,0,0,,,Master's degree,None,None
25-1123,"English Language and Literature Teachers, Postsecondary",3,50,60,2.2,0,0,0,,,Doctoral or professional degree,None,None
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",,890,940,0.6,10,20,30,,,,,
25-2021,"Elementary School Teachers, Except Special Education",5,300,330,0.9,0,10,10,34369.00,50868.00,Bachelor's degree,None,Internship/residency
25-2052,"Special Education Teachers, Kindergarten and Elementary School",2,60,70,0.3,0,0,0,,,Bachelor's degree,None,Internship/residency
25-3000,Other Teachers and Instructors,,250,280,1.1,0,0,10,,,,,
25-3021,Self-Enrichment Education Teachers,4,50,70,3.8,0,0,0,,,High school diploma or equivalent,Less than 5 years,None
25-3098,Substitute Teachers,1,140,150,0.3,0,0,0,8.10,8.60,Bachelor's degree,None,Internship/residency
25-4000,"Librarians, Curators, and Archivists",,60,70,0.6,0,0,0,,,,,
25-4031,Library Technicians,3,50,50,0.6,0,0,0,8.10,11.10,Postsecondary non-degree award,None,None
25-9000,"Other Education, Training, and Library Occupations",,420,440,0.3,0,10,10,,,,,
25-9041,Teacher Assistants,3,390,400,0.3,0,10,10,18101.00,24448.00,"Some college, no degree",None,None
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",,210,240,1.2,0,10,10,10.20,15.10,,,
27-1000,Art and Design Workers,,110,130,1.5,0,0,10,,,,,
27-1012,Craft Artists,,40,40,1.4,0,0,0,8.10,17.30,High school diploma or equivalent,None,Long-term on-the-job training
27-1024,Graphic Designers,,40,50,1.8,0,0,0,10.50,11.70,Bachelor's degree,None,None
27-2000,"Entertainers and Performers, Sports and Related Workers",,40,50,0.7,0,0,0,,,,,
27-2022,Coaches and Scouts,,40,50,0.7,0,0,0,28825.00,34634.00,Bachelor's degree,None,None
27-3000,Media and Communication Workers,,50,50,1,0,0,0,,,,,
29-0000,Healthcare Practitioners and Technical Occupations,,1030,1280,2.4,30,20,50,13.40,25.20,,,
29-1000,Health Diagnosing and Treating Practitioners,,530,670,2.7,10,10,30,,,,,
29-1021,"Dentists, General",2,50,50,1.3,0,0,0,25.10,54.10,Doctoral or professional degree,None,None
29-1141,Registered Nurses,5,250,310,2.5,10,10,10,22.90,27.70,Associate's degree,None,None
29-2000,Health Technologists and Technicians,,500,610,2.1,10,10,20,,,,,
29-2021,Dental Hygienists,,40,50,3,0,0,0,32.80,33.50,Associate's degree,None,None
29-2034,Radiologic Technologists,3,50,60,3.1,0,0,0,16.90,21.30,Associate's degree,None,None
29-2052,Pharmacy Technicians,3,50,60,1.6,0,0,0,13.40,15.60,High school diploma or equivalent,None,Moderate-term on-the-job training
29-2061,Licensed Practical and Licensed Vocational Nurses,3,60,80,2.4,0,0,0,13.70,16.50,Postsecondary non-degree award,None,None
31-0000,Healthcare Support Occupations,,440,580,3.2,10,10,20,8.40,10.80,,,
31-1000,"Nursing, Psychiatric, and Home Health Aides",,240,320,3.3,10,0,10,,,,,
31-1014,Nursing Assistants,1,210,290,3.5,10,0,10,8.10,9.60,Postsecondary non-degree award,None,None
31-9000,Other Healthcare Support Occupations,,170,220,2.8,10,0,10,,,,,
31-9091,Dental Assistants,3,80,100,2.1,0,0,0,10.90,13.20,Postsecondary non-degree award,None,None
31-9092,Medical Assistants,3,60,90,4.4,0,0,0,10.20,11.20,Postsecondary non-degree award,None,None
33-0000,Protective Service Occupations,,720,750,0.4,0,20,30,10.80,17.20,,,
33-1000,Supervisors of Protective Service Workers,,50,50,0.4,0,0,0,,,,,
33-2000,Fire Fighting and Prevention Workers,,40,40,0.5,0,0,0,,,,,
33-2011,Firefighters,,40,40,0.5,0,0,0,8.00,8.50,Postsecondary non-degree award,None,Long-term on-the-job training
33-3000,Law Enforcement Workers,,460,470,0.2,0,10,10,,,,,
33-3012,Correctional Officers and Jailers,4,320,320,0.1,0,10,10,15.80,17.30,High school diploma or equivalent,None,Moderate-term on-the-job training
33-3051,Police and Sheriff's Patrol Officers,4,130,140,0.5,0,0,10,13.50,18.30,High school diploma or equivalent,None,Moderate-term on-the-job training
33-9000,Other Protective Service Workers,,170,180,0.8,0,10,10,,,,,
33-9032,Security Guards,,40,40,1.9,0,0,0,10.00,12.80,High school diploma or equivalent,None,Short-term on-the-job training
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1,90,100,0.6,0,10,10,8.00,8.70,High school diploma or equivalent,None,Short-term on-the-job training
35-0000,Food Preparation and Serving Related Occupations,,1780,1920,0.7,10,60,80,8.10,8.70,,,
35-1000,Supervisors of Food Preparation and Serving Workers,,140,160,1.1,0,0,10,,,,,
35-2000,Cooks and Food Preparation Workers,,560,590,0.6,0,10,20,,,,,
35-2011,"Cooks, Fast Food",0,160,150,-0.5,0,0,0,8.00,8.40,Less than high school,None,Short-term on-the-job training
35-2012,"Cooks, Institution and Cafeteria",1,160,170,1,0,0,10,8.10,10.20,Less than high school,None,Short-term on-the-job training
35-2014,"Cooks, Restaurant",1,170,180,1.1,0,0,10,8.10,9.00,Less than high school,Less than 5 years,Moderate-term on-the-job training
35-2021,Food Preparation Workers,1,60,70,1.3,0,0,0,8.00,8.90,Less than high school,None,Short-term on-the-job training
35-3000,Food and Beverage Serving Workers,,950,1040,0.9,10,40,50,,,,,
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",1,630,690,1,10,20,30,8.10,8.50,Less than high school,None,Short-term on-the-job training
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,60,70,1.2,0,0,10,,,Less than high school,None,Short-term on-the-job training
35-3031,Waiters and Waitresses,1,240,250,0.3,0,10,10,8.10,8.80,Less than high school,None,Short-term on-the-job training
35-9000,Other Food Preparation and Serving Related Workers,,130,130,0.2,0,10,10,,,,,
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0,60,60,0.2,0,0,0,,,Less than high school,None,Short-term on-the-job training
35-9021,Dishwashers,,40,40,0.2,0,0,0,8.10,8.50,Less than high school,None,Short-term on-the-job training
37-0000,Building and Grounds Cleaning and Maintenance Occupations,,1200,1380,1.5,20,20,40,8.10,9.50,,,
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,,120,160,2.5,0,0,10,,,,,
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,3,80,100,2,0,0,0,8.60,11.60,High school diploma or equivalent,Less than 5 years,None
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",,40,60,3.4,0,0,0,11.00,15.70,High school diploma or equivalent,Less than 5 years,None
37-2000,Building Cleaning and Pest Control Workers,,810,910,1.2,10,20,30,,,,,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1,550,630,1.5,10,10,20,8.10,9.80,Less than high school,None,Short-term on-the-job training
